,timestamp,acc_x,acc_y,acc_z
0,1663314880462,-0.686441,-8.668598,3.6634114
1,1663314880462,-0.56440705,-8.824132,3.9604206
2,1663314880462,-0.360718,-8.974879,4.113561
3,1663314880463,-0.12622139,-9.072986,4.182953
4,1663314880463,0.02213361,-9.137591,4.156632
5,1663314880463,0.14925231,-9.171391,4.1207395
6,1663314880464,0.27367908,-9.142377,4.0417767
7,1663314880465,0.38614175,-9.176176,3.888337
8,1663314880469,0.5033901,-9.147162,3.7328033
9,1663314880469,0.8650054,-9.190533,3.5676985
10,1663314880474,1.1883355,-9.219247,3.289832
11,1663314880474,1.425225,-9.142377,3.0792637
12,1663314880479,1.80359,-9.142377,2.9859436
13,1663314880479,2.0739791,-9.12802,2.899802
14,1663314880484,2.2606192,-9.137591,2.9333014
15,1663314880484,2.318346,-9.058628,2.7870402
16,1663314880489,2.4284158,-9.039486,2.7798617
17,1663314880489,2.5671997,-8.99163,2.7391837
18,1663314880494,2.6389842,-9.001201,2.612364
19,1663314880494,2.6581268,-8.934201,2.5669005
20,1663314880499,2.5265217,-8.84806,2.4448664
21,1663314880499,2.5552354,-8.852845,2.3419752
22,1663314880505,2.5576284,-8.895916,2.1741784
23,1663314880505,2.6174488,-8.855238,2.0712872
24,1663314880509,2.437987,-8.771489,2.044966
25,1663314880509,2.3829522,-8.711669,1.937289
26,1663314880534,2.2845473,-8.673384,1.8774685
27,1663314880534,2.4212375,-8.735598,1.8367904
28,1663314880534,2.373381,-8.72124,1.8391833
29,1663314880534,2.3566313,-8.690134,1.8631115
30,1663314880534,2.248655,-8.6013,1.7961125
31,1663314880534,2.2965117,-8.555837,1.8415761
32,1663314880534,2.4092734,-8.548658,1.7841483
33,1663314880534,2.4738796,-8.476873,1.8942182
34,1663314880534,2.385345,-8.400303,2.0258234
35,1663314880534,2.3638096,-8.376375,2.2028923
36,1663314880547,2.3614168,-8.352447,2.2555344
37,1663314880547,2.3925235,-8.247163,2.318047
38,1663314880547,2.5695925,-8.292626,2.4352953
39,1663314880547,2.6653054,-8.36441,2.5094728
40,1663314880553,2.6246274,-8.350054,2.5956144
41,1663314880553,2.684448,-8.3428755,2.6602206
42,1663314880580,2.8160532,-8.362018,2.7535408
43,1663314880580,2.73709,-8.369196,2.8205397
44,1663314880580,2.6676981,-8.36441,2.8205397
45,1663314880580,2.5767708,-8.347661,2.926123
46,1663314880581,2.682055,-8.340483,2.9141588
47,1663314880581,2.5504498,-8.323732,2.9596226
48,1663314880582,2.3614168,-8.292626,2.9356942
49,1663314880582,2.359024,-8.354839,3.0290143
50,1663314880582,2.3039892,-8.49123,3.086442
51,1663314880582,2.248655,-8.515159,2.990729
52,1663314880582,2.140978,-8.630313,2.981158
53,1663314880582,2.0428724,-8.682955,3.0026934
54,1663314880583,2.0548365,-8.783454,2.9691937
55,1663314880583,2.0141585,-8.833703,2.9069805
56,1663314880588,2.030908,-8.867203,2.8253253
57,1663314880588,1.9543378,-8.893523,2.7655048
58,1663314880592,1.8442681,-8.912666,2.736791
59,1663314880593,1.9304097,-8.886345,2.6434708
