,timestamp,gyro_x,gyro_y,gyro_z
0,1663314880462,1.2520841,-1.3299671,1.145186
1,1663314880462,1.2471974,-1.3983821,1.1500727
2,1663314880462,1.244754,-1.4643536,1.1464076
3,1663314880463,1.2496408,-1.5181081,1.1378558
4,1663314880463,1.2435323,-1.5584241,1.1305256
5,1663314880464,1.2410889,-1.5889665,1.1183087
6,1663314880465,1.2386456,-1.6024051,1.108535
7,1663314880469,1.2423106,-1.6097353,1.1012049
8,1663314880469,1.2423106,-1.6011834,1.0902096
9,1663314880474,1.244754,-1.582858,1.0804361
10,1663314880474,1.2410889,-1.5559807,1.0633323
11,1663314880479,1.2435323,-1.5242167,1.0486721
12,1663314880479,1.2423106,-1.5010045,1.0340117
13,1663314880484,1.2362021,-1.4790139,1.0144646
14,1663314880484,1.2374238,-1.4802356,0.9924741
15,1663314880488,1.2313154,-1.4765705,0.9778137
16,1663314880489,1.2252069,-1.4875658,0.9582666
17,1663314880494,1.2252069,-1.5010045,0.9436063
18,1663314880494,1.2215418,-1.5156648,0.9265026
19,1663314880499,1.2032164,-1.5437638,0.9069555
20,1663314880499,1.1934428,-1.5730844,0.8947385
21,1663314880505,1.1763391,-1.6048485,0.8776348
22,1663314880505,1.1616788,-1.630504,0.8678613
23,1663314880509,1.1543486,-1.6561596,0.85075754
24,1663314880509,1.1335799,-1.6744851,0.840984
25,1663314880534,1.1067026,-1.6793718,0.8336538
26,1663314880534,1.0920422,-1.6915888,0.82388026
27,1663314880534,1.0712733,-1.7013624,0.812885
28,1663314880534,1.0480611,-1.7099142,0.80066806
29,1663314880534,1.0236273,-1.7123575,0.7872294
30,1663314880534,0.99552834,-1.7062491,0.78478605
31,1663314880534,0.96865106,-1.6964755,0.7737908
32,1663314880534,0.9417738,-1.6830369,0.7591304
33,1663314880534,0.9136748,-1.67082,0.7481352
34,1663314880534,0.9002361,-1.6524945,0.7383616
35,1663314880547,0.87335885,-1.6329474,0.72980976
36,1663314880547,0.85503346,-1.614622,0.7212579
37,1663314880547,0.8293779,-1.5889665,0.71026266
38,1663314880547,0.8061657,-1.5681976,0.696824
39,1663314880553,0.78661853,-1.5462071,0.67483354
40,1663314880553,0.7621847,-1.5242167,0.6577298
41,1663314880572,0.7365291,-1.5010045,0.63940436
42,1663314880576,0.72064704,-1.4814574,0.6149705
43,1663314880578,0.69499147,-1.4545801,0.59542334
44,1663314880580,0.67544436,-1.4362546,0.57831967
45,1663314880580,0.6571189,-1.4118208,0.5599942
46,1663314880580,0.6461237,-1.3898302,0.54166883
47,1663314880580,0.63268507,-1.3617313,0.52578676
48,1663314880581,0.6192464,-1.334854,0.5160132
49,1663314880582,0.60825115,-1.3165286,0.5013529
50,1663314880582,0.5996993,-1.3006465,0.48913595
51,1663314880582,0.5911474,-1.2774343,0.476919
52,1663314880582,0.5825956,-1.262774,0.46714544
53,1663314880582,0.5789305,-1.2420052,0.46348035
54,1663314880583,0.5716003,-1.2249014,0.4549285
55,1663314880588,0.5667136,-1.2041327,0.44637662
56,1663314880588,0.56060505,-1.1796988,0.44637662
57,1663314880592,0.55693996,-1.1515998,0.44393325
58,1663314880593,0.5471664,-1.1247225,0.44271156
59,1663314880597,0.5398363,-1.1002886,0.44148985
60,1663314880597,0.528841,-1.0758548,0.44148985
61,1663314880602,0.51784575,-1.0501992,0.44148985
62,1663314880602,0.5056288,-1.0282086,0.44515494
63,1663314880607,0.48974678,-1.0025531,0.44271156
64,1663314880607,0.47508645,-0.9781192,0.44759834
65,1663314880612,0.46042612,-0.95246357,0.44515494
66,1663314880612,0.4433224,-0.9304731,0.44271156
67,1663314880618,0.43110546,-0.9072609,0.44271156
68,1663314880618,0.41522342,-0.8877138,0.4378248
69,1663314880622,0.3981197,-0.86694497,0.4304946
70,1663314880622,0.38712445,-0.84617615,0.42438614
71,1663314880627,0.37002072,-0.8290724,0.4121692
72,1663314880627,0.35658208,-0.80830365,0.39995223
73,1663314880632,0.34436515,-0.7911999,0.3865136
74,1663314880632,0.3284831,-0.7692094,0.3694099
75,1663314880638,0.31870955,-0.7484406,0.35230616
76,1663314880638,0.3052709,-0.7313369,0.33275905
77,1663314880642,0.2893889,-0.71667653,0.30954686
78,1663314880642,0.27595025,-0.6959077,0.29122144
79,1663314880647,0.2637333,-0.67513895,0.27045262
80,1663314880647,0.25029466,-0.64826167,0.24479704
81,1663314880652,0.23563433,-0.6299362,0.22524993
82,1663314880652,0.22586077,-0.60794574,0.20692451
83,1663314880658,0.20875706,-0.58473355,0.18371232
84,1663314880658,0.19409671,-0.562743,0.16660859
85,1663314880662,0.18432316,-0.546861,0.15316994
86,1663314880662,0.17088452,-0.52975726,0.13484453
87,1663314880667,0.15744588,-0.51509696,0.12140589
88,1663314880667,0.14645062,-0.50654507,0.109188944
89,1663314880672,0.13667707,-0.5041017,0.0981937
90,1663314880672,0.12323844,-0.5004366,0.08964183
91,1663314880677,0.1085781,-0.5004366,0.07986828
92,1663314880677,0.09513946,-0.5004366,0.07375981
93,1663314880682,0.08414421,-0.50288,0.06520794
94,1663314880682,0.069483876,-0.5126536,0.059099473
95,1663314880686,0.057266932,-0.5236488,0.054212693
96,1663314880687,0.042606596,-0.53464407,0.04566083
97,1663314880691,0.029167956,-0.5493044,0.040774055
98,1663314880691,0.014507622,-0.5554129,0.03466558
99,1663314880696,-0.00015271181,-0.5664081,0.031000499
100,1663314880696,-0.011147963,-0.5786251,0.028557109
101,1663314880701,-0.024586603,-0.5896203,0.022448637
102,1663314880701,-0.035581853,-0.5969505,0.018783553
103,1663314880706,-0.047798797,-0.6018373,0.0151184695
104,1663314880706,-0.05635066,-0.61161083,0.013896775
105,1663314880711,-0.06734591,-0.6103891,0.013896775
106,1663314880711,-0.07834116,-0.6140542,0.01267508
107,1663314880716,-0.08689302,-0.618941,0.013896775
